"","age_gp","sex","region","july1_2020","july1_2021"
"622","Total","total","Missouri",6154481,6168187
"623","Total","male","Missouri",3037833,3044665
"624","Total","female","Missouri",3116648,3123522
"625","0-17","total","Montana",234176,235070
"626","0-17","male","Montana",120413,120934
"627","0-17","female","Montana",113763,114136
"628","18-29","total","Montana",168649,171626
"629","18-29","male","Montana",88178,89847
"630","18-29","female","Montana",80471,81779
"631","30-49","total","Montana",263773,271367
"632","30-49","male","Montana",135460,139263
"633","30-49","female","Montana",128313,132104
"634","50-64","total","Montana",210510,209785
"635","50-64","male","Montana",104839,104715
"636","50-64","female","Montana",105671,105070
"637","65-74","total","Montana",129802,135439
"638","65-74","male","Montana",64747,67184
"639","65-74","female","Montana",65055,68255
"640","75-84","total","Montana",58451,60197
"641","75-84","male","Montana",28257,29167
"642","75-84","female","Montana",30194,31030
"643","85+","total","Montana",20832,20787
"644","85+","male","Montana",8122,8160
"645","85+","female","Montana",12710,12627
"646","Total","total","Montana",1086193,1104271
"647","Total","male","Montana",550016,559270
"648","Total","female","Montana",536177,545001
"649","0-17","total","Nebraska",487195,482884
"650","0-17","male","Nebraska",250167,248016
"651","0-17","female","Nebraska",237028,234868
"652","18-29","total","Nebraska",318609,319390
"653","18-29","male","Nebraska",162631,163160
"654","18-29","female","Nebraska",155978,156230
"655","30-49","total","Nebraska",488286,489413
"656","30-49","male","Nebraska",250664,251078
"657","30-49","female","Nebraska",237622,238335
"658","50-64","total","Nebraska",353338,350115
"659","50-64","male","Nebraska",178192,176758
"660","50-64","female","Nebraska",175146,173357
"661","65-74","total","Nebraska",186492,193977
"662","65-74","male","Nebraska",90104,93755
"663","65-74","female","Nebraska",96388,100222
"664","75-84","total","Nebraska",88798,89882
"665","75-84","male","Nebraska",39629,40209
"666","75-84","female","Nebraska",49169,49673
"667","85+","total","Nebraska",38737,38031
"668","85+","male","Nebraska",13853,13816
"669","85+","female","Nebraska",24884,24215
"670","Total","total","Nebraska",1961455,1963692
"671","Total","male","Nebraska",985240,986792
"672","Total","female","Nebraska",976215,976900
"673","0-17","total","Nevada",700974,698748
"674","0-17","male","Nevada",358756,357524
"675","0-17","female","Nevada",342218,341224
"676","18-29","total","Nevada",472282,471509
"677","18-29","male","Nevada",241243,241275
"678","18-29","female","Nevada",231039,230234
"679","30-49","total","Nevada",850871,860061
"680","30-49","male","Nevada",433932,438543
"681","30-49","female","Nevada",416939,421518
"682","50-64","total","Nevada",588479,595206
"683","50-64","male","Nevada",297522,301142
"684","50-64","female","Nevada",290957,294064
"685","65-74","total","Nevada",311637,321908
"686","65-74","male","Nevada",150133,154623
"687","65-74","female","Nevada",161504,167285
"688","75-84","total","Nevada",148125,154041
"689","75-84","male","Nevada",70469,73180
"690","75-84","female","Nevada",77656,80861
"691","85+","total","Nevada",41703,42518
"692","85+","male","Nevada",17357,17810
"693","85+","female","Nevada",24346,24708
"694","Total","total","Nevada",3114071,3143991
"695","Total","male","Nevada",1569412,1584097
"696","Total","female","Nevada",1544659,1559894
"697","0-17","total","New Hampshire",258918,256376
"698","0-17","male","New Hampshire",132634,131433
"699","0-17","female","New Hampshire",126284,124943
"700","18-29","total","New Hampshire",209167,210380
"701","18-29","male","New Hampshire",107214,107877
"702","18-29","female","New Hampshire",101953,102503
"703","30-49","total","New Hampshire",334863,339108
"704","30-49","male","New Hampshire",169745,172351
"705","30-49","female","New Hampshire",165118,166757
"706","50-64","total","New Hampshire",316236,315607
"707","50-64","male","New Hampshire",157331,156927
"708","50-64","female","New Hampshire",158905,158680
"709","65-74","total","New Hampshire",159821,166691
"710","65-74","male","New Hampshire",77899,81165
"711","65-74","female","New Hampshire",81922,85526
"712","75-84","total","New Hampshire",71131,73406
"713","75-84","male","New Hampshire",32544,33561
"714","75-84","female","New Hampshire",38587,39845
"715","85+","total","New Hampshire",27712,27424
"716","85+","male","New Hampshire",9847,9818
"717","85+","female","New Hampshire",17865,17606
"718","Total","total","New Hampshire",1377848,1388992
"719","Total","male","New Hampshire",687214,693132
"720","Total","female","New Hampshire",690634,695860
"721","0-17","total","New Jersey",2047059,2023128
"722","0-17","male","New Jersey",1047104,1035079
"723","0-17","female","New Jersey",999955,988049
"724","18-29","total","New Jersey",1360090,1355437
"725","18-29","male","New Jersey",691639,689058
"726","18-29","female","New Jersey",668451,666379
"727","30-49","total","New Jersey",2410213,2404983
"728","30-49","male","New Jersey",1209388,1207268
"729","30-49","female","New Jersey",1200825,1197715
"730","50-64","total","New Jersey",1930593,1917665
"731","50-64","male","New Jersey",946806,940859
"732","50-64","female","New Jersey",983787,976806
"733","65-74","total","New Jersey",893695,920871
"734","65-74","male","New Jersey",416715,429887
"735","65-74","female","New Jersey",476980,490984
"736","75-84","total","New Jersey",449076,458662
"737","75-84","male","New Jersey",191290,195468
"738","75-84","female","New Jersey",257786,263194
"739","85+","total","New Jersey",189017,186384
"740","85+","male","New Jersey",64438,64323
"741","85+","female","New Jersey",124579,122061
"742","Total","total","New Jersey",9279743,9267130
"743","Total","male","New Jersey",4567380,4561942
"744","Total","female","New Jersey",4712363,4705188
"745","0-17","total","New Mexico",481889,473221
"746","0-17","male","New Mexico",245540,241170
"747","0-17","female","New Mexico",236349,232051
"748","18-29","total","New Mexico",338497,336475
"749","18-29","male","New Mexico",175267,174263
"750","18-29","female","New Mexico",163230,162212
"751","30-49","total","New Mexico",522983,525824
"752","30-49","male","New Mexico",266025,267528
"753","30-49","female","New Mexico",256958,258296
"754","50-64","total","New Mexico",392853,388411
"755","50-64","male","New Mexico",191446,189474
"756","50-64","female","New Mexico",201407,198937
"757","65-74","total","New Mexico",231681,238520
"758","65-74","male","New Mexico",109646,112498
"759","65-74","female","New Mexico",122035,126022
"760","75-84","total","New Mexico",111446,114957
"761","75-84","male","New Mexico",51109,52676
"762","75-84","female","New Mexico",60337,62281
"763","85+","total","New Mexico",38217,38469
"764","85+","male","New Mexico",14796,15088
"765","85+","female","New Mexico",23421,23381
"766","Total","total","New Mexico",2117566,2115877
"767","Total","male","New Mexico",1053829,1052697
"768","Total","female","New Mexico",1063737,1063180
"769","0-17","total","New York",4211897,4113323
"770","0-17","male","New York",2156844,2106032
"771","0-17","female","New York",2055053,2007291
"772","18-29","total","New York",3241095,3119888
"773","18-29","male","New York",1615558,1558490
"774","18-29","female","New York",1625537,1561398
"775","30-49","total","New York",5248253,5141774
"776","30-49","male","New York",2612645,2560182
"777","30-49","female","New York",2635608,2581592
"778","50-64","total","New York",4041302,3983207
"779","50-64","male","New York",1970169,1941867
"780","50-64","female","New York",2071133,2041340
"781","65-74","total","New York",1986192,2037717
"782","65-74","male","New York",925580,951370
"783","65-74","female","New York",1060612,1086347
"784","75-84","total","New York",993873,1011298
"785","75-84","male","New York",420936,429061
"786","75-84","female","New York",572937,582237
"787","85+","total","New York",432321,428706
"788","85+","male","New York",148220,148300
"789","85+","female","New York",284101,280406
"790","Total","total","New York",20154933,19835913
"791","Total","male","New York",9849952,9695302
"792","Total","female","New York",10304981,10140611
"793","0-17","total","North Carolina",2305587,2301503
"794","0-17","male","North Carolina",1177239,1174698
"795","0-17","female","North Carolina",1128348,1126805
"796","18-29","total","North Carolina",1682336,1690217
"797","18-29","male","North Carolina",856034,859155
"798","18-29","female","North Carolina",826302,831062
"799","30-49","total","North Carolina",2679359,2696023
"800","30-49","male","North Carolina",1315260,1322361
"801","30-49","female","North Carolina",1364099,1373662
"802","50-64","total","North Carolina",2048781,2070105
"803","50-64","male","North Carolina",994018,1004381
"804","50-64","female","North Carolina",1054763,1065724
"805","65-74","total","North Carolina",1064502,1101147
"806","65-74","male","North Carolina",492226,508262
"807","65-74","female","North Carolina",572276,592885
"808","75-84","total","North Carolina",504973,520528
"809","75-84","male","North Carolina",220218,227256
"810","75-84","female","North Carolina",284755,293272
"811","85+","total","North Carolina",171639,171639
"812","85+","male","North Carolina",59357,60142
"813","85+","female","North Carolina",112282,111497
"814","Total","total","North Carolina",10457177,10551162
"815","Total","male","North Carolina",5114352,5156255
"816","Total","female","North Carolina",5342825,5394907
"817","0-17","total","North Dakota",187338,185701
"818","0-17","male","North Dakota",95943,95117
"819","0-17","female","North Dakota",91395,90584
"820","18-29","total","North Dakota",142310,139129
"821","18-29","male","North Dakota",75648,73747
"822","18-29","female","North Dakota",66662,65382
"823","30-49","total","North Dakota",193015,193646
"824","30-49","male","North Dakota",103215,103271
"825","30-49","female","North Dakota",89800,90375
"826","50-64","total","North Dakota",134662,131831
"827","50-64","male","North Dakota",69166,67709
"828","50-64","female","North Dakota",65496,64122
"829","65-74","total","North Dakota",70682,73642
"830","65-74","male","North Dakota",35672,37124
"831","65-74","female","North Dakota",35010,36518
"832","75-84","total","North Dakota",33909,34310
"833","75-84","male","North Dakota",15451,15673
"834","75-84","female","North Dakota",18458,18637
"835","85+","total","North Dakota",17046,16689
"836","85+","male","North Dakota",5894,5768
"837","85+","female","North Dakota",11152,10921
"838","Total","total","North Dakota",778962,774948
"839","Total","male","North Dakota",400989,398409
"840","Total","female","North Dakota",377973,376539
"841","0-17","total","Ohio",2625734,2605629
"842","0-17","male","Ohio",1343378,1333332
"843","0-17","female","Ohio",1282356,1272297
"844","18-29","total","Ohio",1832580,1821063
"845","18-29","male","Ohio",929257,924222
"846","18-29","female","Ohio",903323,896841
"847","30-49","total","Ohio",2917885,2918521
"848","30-49","male","Ohio",1461965,1461576
"849","30-49","female","Ohio",1455920,1456945
"850","50-64","total","Ohio",2358592,2335805
"851","50-64","male","Ohio",1163655,1152759
"852","50-64","female","Ohio",1194937,1183046
"853","65-74","total","Ohio",1237808,1278292
"854","65-74","male","Ohio",585486,604392
"855","65-74","female","Ohio",652322,673900
"856","75-84","total","Ohio",587002,593832
"857","75-84","male","Ohio",253350,256826
"858","75-84","female","Ohio",333652,337006
"859","85+","total","Ohio",230986,226875
"860","85+","male","Ohio",79743,79091
"861","85+","female","Ohio",151243,147784
"862","Total","total","Ohio",11790587,11780017
"863","Total","male","Ohio",5816834,5812198
"864","Total","female","Ohio",5973753,5967819
"865","0-17","total","Oklahoma",961619,961530
"866","0-17","male","Oklahoma",492380,492312
"867","0-17","female","Oklahoma",469239,469218
"868","18-29","total","Oklahoma",648100,650575
"869","18-29","male","Oklahoma",333906,335509
"870","18-29","female","Oklahoma",314194,315066
"871","30-49","total","Oklahoma",1004133,1015178
"872","30-49","male","Oklahoma",507170,511722
"873","30-49","female","Oklahoma",496963,503456
"874","50-64","total","Oklahoma",716604,714645
"875","50-64","male","Oklahoma",353972,352958
"876","50-64","female","Oklahoma",362632,361687
"877","65-74","total","Oklahoma",376868,388432
"878","65-74","male","Oklahoma",177997,183358
"879","65-74","female","Oklahoma",198871,205074
"880","75-84","total","Oklahoma",187758,189996
"881","75-84","male","Oklahoma",82829,83838
"882","75-84","female","Oklahoma",104929,106158
"883","85+","total","Oklahoma",66949,66283
"884","85+","male","Oklahoma",24545,24603
"885","85+","female","Oklahoma",42404,41680
"886","Total","total","Oklahoma",3962031,3986639
"887","Total","male","Oklahoma",1972799,1984300
"888","Total","female","Oklahoma",1989232,2002339
"889","0-17","total","Oregon",873064,861351
"890","0-17","male","Oregon",447915,441881
"891","0-17","female","Oregon",425149,419470
"892","18-29","total","Oregon",653257,646053
"893","18-29","male","Oregon",332111,328716
"894","18-29","female","Oregon",321146,317337
"895","30-49","total","Oregon",1153434,1160906
"896","30-49","male","Oregon",587166,590318
"897","30-49","female","Oregon",566268,570588
"898","50-64","total","Oregon",793177,789466
"899","50-64","male","Oregon",392000,391177
"900","50-64","female","Oregon",401177,398289
"901","65-74","total","Oregon",476286,489637
"902","65-74","male","Oregon",227033,232845
"903","65-74","female","Oregon",249253,256792
"904","75-84","total","Oregon",216632,224253
"905","75-84","male","Oregon",99927,103325
"906","75-84","female","Oregon",116705,120928
"907","85+","total","Oregon",75694,74489
"908","85+","male","Oregon",28622,28576
"909","85+","female","Oregon",47072,45913
"910","Total","total","Oregon",4241544,4246155
"911","Total","male","Oregon",2114774,2116838
"912","Total","female","Oregon",2126770,2129317
"913","0-17","total","Pennsylvania",2700980,2674009
"914","0-17","male","Pennsylvania",1384514,1370720
"915","0-17","female","Pennsylvania",1316466,1303289
"916","18-29","total","Pennsylvania",1974778,1957385
"917","18-29","male","Pennsylvania",1001939,993723
"918","18-29","female","Pennsylvania",972839,963662
"919","30-49","total","Pennsylvania",3219426,3221788
"920","30-49","male","Pennsylvania",1624318,1625839
"921","30-49","female","Pennsylvania",1595108,1595949
"922","50-64","total","Pennsylvania",2677332,2646420
"923","50-64","male","Pennsylvania",1321516,1307059
"924","50-64","female","Pennsylvania",1355816,1339361
"925","65-74","total","Pennsylvania",1419283,1465176
"926","65-74","male","Pennsylvania",674249,696013
"927","65-74","female","Pennsylvania",745034,769163
"928","75-84","total","Pennsylvania",697904,706858
"929","75-84","male","Pennsylvania",302222,306739
"930","75-84","female","Pennsylvania",395682,400119
"931","85+","total","Pennsylvania",299922,292420
"932","85+","male","Pennsylvania",101487,99717
"933","85+","female","Pennsylvania",198435,192703
"934","Total","total","Pennsylvania",12989625,12964056
"935","Total","male","Pennsylvania",6410245,6399810
"936","Total","female","Pennsylvania",6579380,6564246
"937","0-17","total","Rhode Island",212350,208827
"938","0-17","male","Rhode Island",108761,106906
"939","0-17","female","Rhode Island",103589,101921
"940","18-29","total","Rhode Island",186156,184475
"941","18-29","male","Rhode Island",93556,92656
"942","18-29","female","Rhode Island",92600,91819
"943","30-49","total","Rhode Island",274648,276411
"944","30-49","male","Rhode Island",138076,139141
"945","30-49","female","Rhode Island",136572,137270
"946","50-64","total","Rhode Island",229216,227106
"947","50-64","male","Rhode Island",111166,110107
"948","50-64","female","Rhode Island",118050,116999
"949","65-74","total","Rhode Island",114041,118373
"950","65-74","male","Rhode Island",53881,55831
"951","65-74","female","Rhode Island",60160,62542
"952","75-84","total","Rhode Island",54711,56012
"953","75-84","male","Rhode Island",23633,24334
"954","75-84","female","Rhode Island",31078,31678
"955","85+","total","Rhode Island",25107,24406
"956","85+","male","Rhode Island",8131,7986
"957","85+","female","Rhode Island",16976,16420
"958","Total","total","Rhode Island",1096229,1095610
"959","Total","male","Rhode Island",537204,536961
"960","Total","female","Rhode Island",559025,558649
"961","0-17","total","South Carolina",1114257,1117092
"962","0-17","male","South Carolina",567809,569362
"963","0-17","female","South Carolina",546448,547730
"964","18-29","total","South Carolina",793141,793302
"965","18-29","male","South Carolina",401087,401349
"966","18-29","female","South Carolina",392054,391953
"967","30-49","total","South Carolina",1273736,1288222
"968","30-49","male","South Carolina",621645,627267
"969","30-49","female","South Carolina",652091,660955
"970","50-64","total","South Carolina",1014356,1025690
"971","50-64","male","South Carolina",486142,491732
"972","50-64","female","South Carolina",528214,533958
"973","65-74","total","South Carolina",580351,600896
"974","65-74","male","South Carolina",268764,277469
"975","65-74","female","South Carolina",311587,323427
"976","75-84","total","South Carolina",271695,281831
"977","75-84","male","South Carolina",121752,126242
"978","75-84","female","South Carolina",149943,155589
"979","85+","total","South Carolina",83193,83672
"980","85+","male","South Carolina",29774,30294
"981","85+","female","South Carolina",53419,53378
"982","Total","total","South Carolina",5130729,5190705
"983","Total","male","South Carolina",2496973,2523715
"984","Total","female","South Carolina",2633756,2666990
"985","0-17","total","South Dakota",220094,220429
"986","0-17","male","South Dakota",112926,113095
"987","0-17","female","South Dakota",107168,107334
"988","18-29","total","South Dakota",138224,139471
"989","18-29","male","South Dakota",71808,72487
"990","18-29","female","South Dakota",66416,66984
"991","30-49","total","South Dakota",211936,214782
"992","30-49","male","South Dakota",110225,111763
"993","30-49","female","South Dakota",101711,103019
"994","50-64","total","South Dakota",165152,164276
"995","50-64","male","South Dakota",83692,83267
"996","50-64","female","South Dakota",81460,81009
"997","65-74","total","South Dakota",93019,97689
"998","65-74","male","South Dakota",46951,49170
"999","65-74","female","South Dakota",46068,48519
"1000","75-84","total","South Dakota",40095,40563
"1001","75-84","male","South Dakota",18378,18735
"1002","75-84","female","South Dakota",21717,21828
"1003","85+","total","South Dakota",18579,18166
"1004","85+","male","South Dakota",6408,6325
"1005","85+","female","South Dakota",12171,11841
"1006","Total","total","South Dakota",887099,895376
"1007","Total","male","South Dakota",450388,454842
"1008","Total","female","South Dakota",436711,440534
"1009","0-17","total","Tennessee",1540917,1540674
"1010","0-17","male","Tennessee",787401,787634
"1011","0-17","female","Tennessee",753516,753040
"1012","18-29","total","Tennessee",1097137,1098149
"1013","18-29","male","Tennessee",551219,551558
"1014","18-29","female","Tennessee",545918,546591
"1015","30-49","total","Tennessee",1772768,1787318
"1016","30-49","male","Tennessee",878694,885256
"1017","30-49","female","Tennessee",894074,902062
"1018","50-64","total","Tennessee",1354999,1363805
"1019","50-64","male","Tennessee",660044,664635
"1020","50-64","female","Tennessee",694955,699170
"1021","65-74","total","Tennessee",704840,728268
"1022","65-74","male","Tennessee",329898,339806
"1023","65-74","female","Tennessee",374942,388462
"1024","75-84","total","Tennessee",337595,345555
"1025","75-84","male","Tennessee",148611,152198
"1026","75-84","female","Tennessee",188984,193357
"1027","85+","total","Tennessee",111863,111449
"1028","85+","male","Tennessee",38533,38914
"1029","85+","female","Tennessee",73330,72535
"1030","Total","total","Tennessee",6920119,6975218
"1031","Total","male","Tennessee",3394400,3420001
"1032","Total","female","Tennessee",3525719,3555217
"1033","0-17","total","Texas",7486091,7475433
"1034","0-17","male","Texas",3821929,3816578
"1035","0-17","female","Texas",3664162,3658855
"1036","18-29","total","Texas",4916957,4954777
"1037","18-29","male","Texas",2512983,2531410
"1038","18-29","female","Texas",2403974,2423367
"1039","30-49","total","Texas",8022971,8117031
"1040","30-49","male","Texas",4054982,4100858
"1041","30-49","female","Texas",3967989,4016173
"1042","50-64","total","Texas",5045571,5104716
"1043","50-64","male","Texas",2501508,2531443
"1044","50-64","female","Texas",2544063,2573273
"1045","65-74","total","Texas",2313707,2408573
"1046","65-74","male","Texas",1089603,1133513
"1047","65-74","female","Texas",1224104,1275060
"1048","75-84","total","Texas",1062958,1097502
"1049","75-84","male","Texas",469519,485223
"1050","75-84","female","Texas",593439,612279
"1051","85+","total","Texas",369398,369909
"1052","85+","male","Texas",135336,136945
"1053","85+","female","Texas",234062,232964
"1054","Total","total","Texas",29217653,29527941
"1055","Total","male","Texas",14585860,14735970
"1056","Total","female","Texas",14631793,14791971
"1057","0-17","total","Utah",949355,947243
"1058","0-17","male","Utah",487894,486617
"1059","0-17","female","Utah",461461,460626
"1060","18-29","total","Utah",618661,633349
"1061","18-29","male","Utah",316154,324219
"1062","18-29","female","Utah",302507,309130
"1063","30-49","total","Utah",870408,890272
"1064","30-49","male","Utah",444952,454737
"1065","30-49","female","Utah",425456,435535
"1066","50-64","total","Utah",469031,477963
"1067","50-64","male","Utah",235603,240504
"1068","50-64","female","Utah",233428,237459
"1069","65-74","total","Utah",230844,242367
"1070","65-74","male","Utah",112129,117771
"1071","65-74","female","Utah",118715,124596
"1072","75-84","total","Utah",107783,111129
"1073","75-84","male","Utah",49722,51372
"1074","75-84","female","Utah",58061,59757
"1075","85+","total","Utah",35602,35652
"1076","85+","male","Utah",14698,14849
"1077","85+","female","Utah",20904,20803
"1078","Total","total","Utah",3281684,3337975
"1079","Total","male","Utah",1661152,1690069
"1080","Total","female","Utah",1620532,1647906
"1081","0-17","total","Vermont",118351,116976
"1082","0-17","male","Vermont",61189,60474
"1083","0-17","female","Vermont",57162,56502
"1084","18-29","total","Vermont",104836,104706
"1085","18-29","male","Vermont",53669,53473
"1086","18-29","female","Vermont",51167,51233
"1087","30-49","total","Vermont",150841,152810
"1088","30-49","male","Vermont",75618,76642
"1089","30-49","female","Vermont",75223,76168
"1090","50-64","total","Vermont",139310,137820
"1091","50-64","male","Vermont",68733,67986
"1092","50-64","female","Vermont",70577,69834
"1093","65-74","total","Vermont",79696,82540
"1094","65-74","male","Vermont",38913,40205
"1095","65-74","female","Vermont",40783,42335
"1096","75-84","total","Vermont",36171,37555
"1097","75-84","male","Vermont",16682,17284
"1098","75-84","female","Vermont",19489,20271
"1099","85+","total","Vermont",13290,13163
"1100","85+","male","Vermont",4729,4786
"1101","85+","female","Vermont",8561,8377
"1102","Total","total","Vermont",642495,645570
"1103","Total","male","Vermont",319533,320850
"1104","Total","female","Vermont",322962,324720
"1105","0-17","total","Virginia",1898856,1884826
"1106","0-17","male","Virginia",972126,965208
"1107","0-17","female","Virginia",926730,919618
"1108","18-29","total","Virginia",1387555,1381369
"1109","18-29","male","Virginia",711041,708311
"1110","18-29","female","Virginia",676514,673058
"1111","30-49","total","Virginia",2285405,2284514
"1112","30-49","male","Virginia",1145775,1144788
"1113","30-49","female","Virginia",1139630,1139726
"1114","50-64","total","Virginia",1690303,1684913
"1115","50-64","male","Virginia",828862,826827
"1116","50-64","female","Virginia",861441,858086
"1117","65-74","total","Virginia",827902,853298
"1118","65-74","male","Virginia",388270,399470
"1119","65-74","female","Virginia",439632,453828
"1120","75-84","total","Virginia",400762,412369
"1121","75-84","male","Virginia",176581,181745
"1122","75-84","female","Virginia",224181,230624
"1123","85+","total","Virginia",141261,140985
"1124","85+","male","Virginia",50323,50852
"1125","85+","female","Virginia",90938,90133
"1126","Total","total","Virginia",8632044,8642274
"1127","Total","male","Virginia",4272978,4277201
"1128","Total","female","Virginia",4359066,4365073
"1129","0-17","total","Washington",1693011,1676122
"1130","0-17","male","Washington",867236,858890
"1131","0-17","female","Washington",825775,817232
"1132","18-29","total","Washington",1233445,1216762
"1133","18-29","male","Washington",641080,632335
"1134","18-29","female","Washington",592365,584427
"1135","30-49","total","Washington",2138781,2162171
"1136","30-49","male","Washington",1099141,1111768
"1137","30-49","female","Washington",1039640,1050403
"1138","50-64","total","Washington",1434631,1428459
"1139","50-64","male","Washington",717946,715876
"1140","50-64","female","Washington",716685,712583
"1141","65-74","total","Washington",757498,782531
"1142","65-74","male","Washington",361642,373143
"1143","65-74","female","Washington",395856,409388
"1144","75-84","total","Washington",339752,352000
"1145","75-84","male","Washington",155635,160994
"1146","75-84","female","Washington",184117,191006
"1147","85+","total","Washington",121667,120647
"1148","85+","male","Washington",45048,45261
"1149","85+","female","Washington",76619,75386
"1150","Total","total","Washington",7718785,7738692
"1151","Total","male","Washington",3887728,3898267
"1152","Total","female","Washington",3831057,3840425
"1153","0-17","total","West Virginia",362716,359031
"1154","0-17","male","West Virginia",186454,184553
"1155","0-17","female","West Virginia",176262,174478
"1156","18-29","total","West Virginia",260670,259256
"1157","18-29","male","West Virginia",134651,134116
"1158","18-29","female","West Virginia",126019,125140
"1159","30-49","total","West Virginia",432418,429955
"1160","30-49","male","West Virginia",219855,218413
"1161","30-49","female","West Virginia",212563,211542
"1162","50-64","total","West Virginia",369143,365297
"1163","50-64","male","West Virginia",183316,181695
"1164","50-64","female","West Virginia",185827,183602
"1165","65-74","total","West Virginia",221912,226067
"1166","65-74","male","West Virginia",106895,108477
"1167","65-74","female","West Virginia",115017,117590
"1168","75-84","total","West Virginia",106602,107444
"1169","75-84","male","West Virginia",48266,48763
"1170","75-84","female","West Virginia",58336,58681
"1171","85+","total","West Virginia",36337,35909
"1172","85+","male","West Virginia",12994,13081
"1173","85+","female","West Virginia",23343,22828
"1174","Total","total","West Virginia",1789798,1782959
"1175","Total","male","West Virginia",892431,889098
"1176","Total","female","West Virginia",897367,893861
"1177","0-17","total","Wisconsin",1289310,1274756
"1178","0-17","male","Wisconsin",660754,653193
"1179","0-17","female","Wisconsin",628556,621563
"1180","18-29","total","Wisconsin",921838,922686
"1181","18-29","male","Wisconsin",469804,470811
"1182","18-29","female","Wisconsin",452034,451875
"1183","30-49","total","Wisconsin",1443321,1442312
"1184","30-49","male","Wisconsin",736392,735601
"1185","30-49","female","Wisconsin",706929,706711
"1186","50-64","total","Wisconsin",1208862,1198911
"1187","50-64","male","Wisconsin",607008,601965
"1188","50-64","female","Wisconsin",601854,596946
"1189","65-74","total","Wisconsin",623892,649145
"1190","65-74","male","Wisconsin",305882,317989
"1191","65-74","female","Wisconsin",318010,331156
"1192","75-84","total","Wisconsin",290391,295589
"1193","75-84","male","Wisconsin",131309,133905
"1194","75-84","female","Wisconsin",159082,161684
"1195","85+","total","Wisconsin",114709,112509
"1196","85+","male","Wisconsin",40722,40410
"1197","85+","female","Wisconsin",73987,72099
"1198","Total","total","Wisconsin",5892323,5895908
"1199","Total","male","Wisconsin",2951871,2953874
"1200","Total","female","Wisconsin",2940452,2942034
"1201","0-17","total","Wyoming",133739,132424
"1202","0-17","male","Wyoming",68955,68096
"1203","0-17","female","Wyoming",64784,64328
"1204","18-29","total","Wyoming",88140,87642
"1205","18-29","male","Wyoming",46206,45959
"1206","18-29","female","Wyoming",41934,41683
"1207","30-49","total","Wyoming",146227,147153
"1208","30-49","male","Wyoming",76354,76573
"1209","30-49","female","Wyoming",69873,70580
"1210","50-64","total","Wyoming",108922,107707
"1211","50-64","male","Wyoming",55497,54887
"1212","50-64","female","Wyoming",53425,52820
"1213","65-74","total","Wyoming",63031,65986
"1214","65-74","male","Wyoming",32122,33517
"1215","65-74","female","Wyoming",30909,32469
"1216","75-84","total","Wyoming",27388,28167
"1217","75-84","male","Wyoming",13086,13457
"1218","75-84","female","Wyoming",14302,14710
"1219","85+","total","Wyoming",9820,9724
"1220","85+","male","Wyoming",3728,3725
"1221","85+","female","Wyoming",6092,5999
"1222","Total","total","Wyoming",577267,578803
"1223","Total","male","Wyoming",295948,296214
"1224","Total","female","Wyoming",281319,282589
